Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,,Month_ID
MELBOURNE,APR,1049861.2,1023452,409397.2,411393,,4
MELBOURNE,MAY,979102.8,984662.4,357861.6,384552.8,,5
MELBOURNE,JUN,940144.4,983259,368995.2,444142.4,,6
MELBOURNE,JUL,1117913.2,1084279.2,492890.2,420994.4,,7
MELBOURNE,AUG,1036291,1034569,420421.8,426595.6,,8
MELBOURNE,SEP,1047666.8,1057201.2,428090.4,430632.8,,9
MELBOURNE,OCT,1138344.4,1123496.8,475388.4,397389.6,,10
MELBOURNE,NOV,1095445.6,1083385.8,419481.6,426633.4,,11
MELBOURNE,DEC,1068255.8,1106679.8,461896.2,531078.8,,12
PERTH,JAN,340372.4,353942.6,235942.2,191385,,1
PERTH,FEB,293683.8,298300.4,177000.2,147391.8,,2
PERTH,MAR,343434.6,338273,166959.4,173001.2,,3
PERTH,APR,344222,346043.6,174010.4,183715.2,,4
PERTH,MAY,326983.6,329177.4,152507.6,162162.6,,5
PERTH,JUN,317892.8,312445.2,155002.6,186106,,6
PERTH,JUL,357325.6,366977.6,210583,182088.2,,7
PERTH,AUG,337332.2,332809.8,174684.8,172901.8,,8
PERTH,SEP,340025.8,344637.8,182060.2,186461.8,,9
PERTH,OCT,366309.4,365712,205745.6,165129,,10
PERTH,NOV,344524,342964.6,169079.6,167844.2,,11
PERTH,DEC,361630.6,349804.6,185741,229821.8,,12
SYDNEY,JAN,1115231.4,1113720.6,813845,703530.2,,1
SYDNEY,FEB,1033366.8,1033376.6,651930.8,574411.6,,2
SYDNEY,MAR,1163522.8,1151441.4,621202,639753,,3
SYDNEY,APR,1118062.4,1118296.2,633745.8,653178.4,,4
SYDNEY,MAY,1085075,1071318.6,565070.2,590288.8,,5
SYDNEY,JUN,1041784.6,1033016.6,556672.6,652330.8,,6
SYDNEY,JUL,1166948.8,1185961.6,735197.2,649240,,7
SYDNEY,AUG,1128539.2,1114054.8,632739.2,642895.8,,8
SYDNEY,SEP,1119977,1139500.2,637851,650844,,9
SYDNEY,OCT,1226132.4,1212057,719644.6,616187.4,,10
SYDNEY,NOV,1178680.8,1175471.4,632314.8,647249.6,,11
SYDNEY,DEC,1166027.8,1168658.8,701708.6,821032,,12
